badge_id,badge_name,issuer,skillsValidated,relevant_goals,difficulty_level,description
B001,Python for Data Science,Coursera,"['Python', 'Data Analysis']","['Become a Data Scientist', 'Machine Learning Engineer']",Beginner,Coursera: Intro to Python & data analysis. Beginner.
B002,Data Analysis with Pandas,DataCamp,"['Data Analysis', 'SQL']","['Become a Data Scientist', 'Data Engineer']",Intermediate,DataCamp: Learn Pandas & SQL basics. Intermediate.
B003,Machine Learning Foundations,Udacity,"['Machine Learning', 'Python']","['Machine Learning Engineer', 'AI Researcher']",Intermediate,Udacity: ML fundamentals with Python. Intermediate.
B004,Deep Learning Specialization,DeepLearning.AI,"['Neural Networks', 'TensorFlow']","['Machine Learning Engineer', 'AI Researcher']",Advanced,DeepLearning.AI: Advanced neural nets & TensorFlow. Advanced.
B005,AI Ethics and Policy,AI Policy Institute,"['AI Policy', 'Ethics']",['AI Ethics Specialist'],Advanced,AI Policy: Overview of ethics & policy in AI. Advanced.
B006,Cloud Computing Basics,AWS,"['Cloud Computing', 'AWS']","['Cloud Engineer', 'Data Engineer']",Beginner,AWS: Intro to cloud computing. Beginner.
B007,DevOps Foundations,Udacity,"['Kubernetes', 'CI/CD']","['DevOps Engineer', 'Cloud Engineer']",Intermediate,Udacity: Basics of DevOps with Kubernetes & CI/CD. Intermediate.
B008,Cybersecurity Fundamentals,edX,"['Cybersecurity', 'Networking']",['Cybersecurity Analyst'],Beginner,edX: Fundamentals of cybersecurity & networking. Beginner.
B009,Ethical Hacking Certification,Offensive Security,"['Ethical Hacking', 'Cybersecurity']","['Cybersecurity Analyst', 'DevOps Engineer']",Advanced,Offensive Security: Advanced ethical hacking techniques. Advanced.
B010,UI/UX Design Principles,Google,"['User Research', 'Wireframing']",['UI/UX Designer'],Beginner,Google: Core UI/UX design fundamentals. Beginner.
B011,Python for Data Science difficult,Coursera,"['Python', 'Data Analysis']","['Become a Data Scientist', 'Machine Learning Engineer']",Beginner,Coursera: Intro to Python & data analysis. Beginner. Back ago budget scene visit store when.
B012,Data Analysis with Pandas even,DataCamp,"['Data Analysis', 'SQL']","['Become a Data Scientist', 'Data Engineer']",Intermediate,DataCamp: Learn Pandas & SQL basics. Intermediate. Major method improve admit.
B013,Machine Learning Foundations official,Udacity,"['Machine Learning', 'Python']","['Machine Learning Engineer', 'AI Researcher']",Intermediate,Udacity: ML fundamentals with Python. Intermediate. Former sort treat network though write few parent.
B014,Deep Learning Specialization carry,DeepLearning.AI,"['Neural Networks', 'TensorFlow']","['Machine Learning Engineer', 'AI Researcher']",Advanced,DeepLearning.AI: Advanced neural nets & TensorFlow. Advanced. Game book small movie view.
B015,AI Ethics and Policy everything,AI Policy Institute,"['AI Policy', 'Ethics']",['AI Ethics Specialist'],Advanced,AI Policy: Overview of ethics & policy in AI. Advanced. Information occur push fast.
B016,Cloud Computing Basics paper,AWS,"['Cloud Computing', 'AWS']","['Cloud Engineer', 'Data Engineer']",Beginner,AWS: Intro to cloud computing. Beginner. Author send whether study among son upon.
B017,DevOps Foundations scene,Udacity,"['Kubernetes', 'CI/CD']","['DevOps Engineer', 'Cloud Engineer']",Intermediate,Udacity: Basics of DevOps with Kubernetes & CI/CD. Intermediate. Above during other save main.
B018,Cybersecurity Fundamentals little,edX,"['Cybersecurity', 'Networking']",['Cybersecurity Analyst'],Beginner,edX: Fundamentals of cybersecurity & networking. Beginner. Window product defense while condition.
B019,Ethical Hacking Certification deal,Offensive Security,"['Ethical Hacking', 'Cybersecurity']","['Cybersecurity Analyst', 'DevOps Engineer']",Advanced,Offensive Security: Advanced ethical hacking techniques. Advanced. Tree under high reveal.
B020,UI/UX Design Principles Congress,Google,"['User Research', 'Wireframing']",['UI/UX Designer'],Beginner,Google: Core UI/UX design fundamentals. Beginner. Claim your opportunity walk.
B021,Python for Data Science specific,Coursera,"['Python', 'Data Analysis']","['Become a Data Scientist', 'Machine Learning Engineer']",Beginner,Coursera: Intro to Python & data analysis. Beginner. Half daughter Republican hold.
B022,Data Analysis with Pandas here,DataCamp,"['Data Analysis', 'SQL']","['Become a Data Scientist', 'Data Engineer']",Intermediate,DataCamp: Learn Pandas & SQL basics. Intermediate. Once tree movement policy itself all situation easy.
