badge_id,name,issuer,description,criteria,alignment,related_badges,competency,skill_level,learningOpportunity,credentialLevel,assessment,employmentOutcome,skillsValidated
B001,Database Management Badge 1,Harvard,Certification in Software Development skills.,Complete an advanced course in Machine Learning.,Cloud Computing,"['B066', 'B010']",Intermediate,Beginner,AI Ethics Masterclass,Certification,Project,Cloud Architect,SQL
B002,AI Ethics Badge 2,Udacity,Certification in Cybersecurity skills.,Complete an advanced course in Data Science.,Machine Learning,"['B067', 'B008', 'B083']",Beginner,Beginner,AI Ethics Masterclass,Certification,Project,Data Analyst,Cloud Computing
B003,DevOps Badge 3,AWS,Certification in Web Development skills.,Complete an advanced course in DevOps.,Machine Learning,"['B051', 'B021', 'B099']",Beginner,Beginner,Cybersecurity Masterclass,Certificate,Hands-on Practical,Data Analyst,SQL
B004,Database Management Badge 4,AWS,Certification in DevOps skills.,Complete an advanced course in Cybersecurity.,AI Ethics,['B062'],Beginner,Beginner,AI Ethics Masterclass,Certificate,Research Paper,Cloud Architect,AI Ethics
B005,Cloud Computing Badge 5,Udacity,Certification in Cloud Computing skills.,Complete an advanced course in Data Science.,Machine Learning,"['B098', 'B089']",Advanced,Intermediate,Programming Masterclass,Microdegree,Quiz,Cybersecurity Specialist,Cybersecurity
B006,Cloud Computing Badge 6,Microsoft,Certification in Programming skills.,Complete an advanced course in Machine Learning.,Cybersecurity,"['B096', 'B091']",Advanced,Intermediate,Cloud Computing Masterclass,Certification,Hands-on Practical,Software Engineer,DevOps
B007,Cybersecurity Badge 7,Coursera,Certification in Machine Learning skills.,Complete an advanced course in Programming.,Cloud Computing,"['B019', 'B077', 'B056']",Advanced,Beginner,Web Development Masterclass,Certification,Hands-on Practical,Data Analyst,Cloud Computing
B008,Data Science Badge 8,Coursera,Certification in Cloud Computing skills.,Complete an advanced course in Database Management.,AI Ethics,['B083'],Beginner,Beginner,Software Development Masterclass,Certificate,Research Paper,Software Engineer,Cloud Computing
B009,Database Management Badge 9,Harvard,Certification in Programming skills.,Complete an advanced course in Software Development.,Programming,['B081'],Advanced,Advanced,Database Management Masterclass,Microdegree,Quiz,Cybersecurity Specialist,SQL
B010,AI Ethics Badge 10,Google,Certification in DevOps skills.,Complete an advanced course in Programming.,Software Development,[],Advanced,Beginner,Software Development Masterclass,Certification,Quiz,Data Analyst,SQL
B011,Data Science Badge 11,Harvard,Certification in Web Development skills.,Complete an advanced course in Data Science.,DevOps,"['B029', 'B006', 'B038']",Intermediate,Intermediate,Programming Masterclass,Certificate,Research Paper,Data Analyst,Python
B012,Database Management Badge 12,IBM,Certification in Data Science skills.,Complete an advanced course in DevOps.,Cybersecurity,[],Advanced,Intermediate,Programming Masterclass,Certification,Research Paper,AI Researcher,Python
B013,Cybersecurity Badge 13,Udacity,Certification in Web Development skills.,Complete an advanced course in Web Development.,Programming,"['B045', 'B084']",Intermediate,Advanced,DevOps Masterclass,Microdegree,Exam,Software Engineer,SQL
